"id","title","genres","director","rating","imdb_rating","avg_rating","total_reviews","total_spoilers"
"tt0499549","Avatar ","Action|Adventure|Fantasy|Sci-Fi","James Cameron","PG-13",8,7,741,194
"tt0449088","Pirates of the Caribbean: At World's End ","Action|Adventure|Fantasy","Gore Verbinski","PG-13",7,6,727,277
"tt2379713","Spectre ","Action|Adventure|Thriller","Sam Mendes","PG-13",7,6,592,229
"tt1345836","The Dark Knight Rises ","Action|Thriller","Christopher Nolan","PG-13",9,6,719,275
"tt0401729","John Carter ","Action|Adventure|Sci-Fi","Andrew Stanton","PG-13",7,7,725,152
"tt0413300","Spider-Man 3 ","Action|Adventure|Romance","Sam Raimi","PG-13",6,6,740,328
"tt0398286","Tangled ","Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance","Nathan Greno","PG",8,9,367,107
"tt2395427","Avengers: Age of Ultron ","Action|Adventure|Sci-Fi","Joss Whedon","PG-13",8,7,720,286
"tt0417741","Harry Potter and the Half-Blood Prince ","Adventure|Family|Fantasy|Mystery","David Yates","PG",8,5,727,357
"tt2975590","Batman v Superman: Dawn of Justice ","Action|Adventure|Sci-Fi","Zack Snyder","PG-13",7,6,747,309
"tt0348150","Superman Returns ","Action|Adventure|Sci-Fi","Bryan Singer","PG-13",6,5,731,277
"tt0830515","Quantum of Solace ","Action|Adventure","Marc Forster","PG-13",7,5,711,233
"tt0383574","Pirates of the Caribbean: Dead Man's Chest ","Action|Adventure|Fantasy","Gore Verbinski","PG-13",7,6,744,227
"tt1210819","The Lone Ranger ","Action|Adventure|Western","Gore Verbinski","PG-13",7,7,697,197
"tt0770828","Man of Steel ","Action|Adventure|Fantasy|Sci-Fi","Zack Snyder","PG-13",7,6,716,305
"tt0499448","The Chronicles of Narnia: Prince Caspian ","Action|Adventure|Family|Fantasy","Andrew Adamson","PG",7,7,426,181
"tt0848228","The Avengers ","Action|Adventure|Sci-Fi","Joss Whedon","PG-13",8,7,722,210
"tt1298650","Pirates of the Caribbean: On Stranger Tides ","Action|Adventure|Fantasy","Rob Marshall","PG-13",7,6,445,144
"tt1409024","Men in Black 3 ","Action|Adventure|Comedy|Family|Fantasy|Sci-Fi","Barry Sonnenfeld","PG-13",7,7,327,94
"tt2310332","The Hobbit: The Battle of the Five Armies ","Adventure|Fantasy","Peter Jackson","PG-13",8,6,730,341
"tt0948470","The Amazing Spider-Man ","Action|Adventure|Fantasy","Marc Webb","PG-13",7,7,725,294
"tt0955308","Robin Hood ","Action|Adventure|Drama|History","Ridley Scott","PG-13",7,6,523,189
